UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
554,1,Train,Altamonte Springs,FL,US,32701,Bachelor's,Legal Studies,2006-12-01 00:00:00,2,4.0,No,No,0
769,1,Test,Roselle,IL,US,60172,Bachelor's,Radio-Television,2011-05-01 00:00:00,5,5.0,Yes,No,0
1697,1,Train,Justice,IL,US,60458,High School,Not Applicable,2007-01-01 00:00:00,4,6.0,,No,0
2652,1,Test,Glendale,CA,US,91204,High School,Not Applicable,1987-01-01 00:00:00,3,21.0,No,Yes,3
4359,1,Train,Valrico,FL,US,33594,High School,Not Applicable,2010-01-01 00:00:00,3,2.0,Yes,No,0
4743,1,Train,Fort Worth,TX,US,76137,High School,Not Applicable,2006-06-01 00:00:00,6,6.0,Yes,No,0
4972,1,Train,Brazoria,TX,US,77422,High School,Not Applicable,2008-06-01 00:00:00,3,3.0,No,No,0
6246,1,Train,Stone Mountain,GA,US,30083,Bachelor's,Political Science,2011-07-01 00:00:00,3,5.0,No,No,0
7709,1,Train,Brooklyn,NY,US,11214,Associate's,Hospitality Administration and Management.,1999-01-01 00:00:00,3,10.0,No,Yes,5
8460,1,Train,Rapid City,SD,US,57701,Master's,Engineering Management,2011-12-01 00:00:00,3,6.0,No,Yes,5
9280,1,Test,Pompano Beach,FL,US,33060,Associate's,Education,2008-05-01 00:00:00,4,7.0,Yes,Yes,15
9973,1,Train,Moreno Valley,CA,US,92553,Associate's,LIBERAL ARTS,1992-06-01 00:00:00,2,11.0,No,Yes,25
14307,1,Train,Brooklyn,NY,US,11223,Bachelor's,Operations Management / Communications,,2,5.0,Yes,No,0
16098,1,Train,Duncanville,TX,US,75116,High School,Not Applicable,,9,16.0,Yes,No,0
16621,1,Train,Dallas,TX,US,75241,Bachelor's,Management,,2,4.0,Yes,No,0
16745,1,Train,Raymore,MO,US,64083,,,1993-12-01 00:00:00,8,13.0,No,No,0
16834,1,Train,Pleasant Hill,MO,US,64080,Bachelor's,Accounting,,3,7.0,,No,0
19265,1,Train,Puyallup,WA,US,98374,,,,4,4.0,Yes,No,0
19941,1,Train,Gainesville,FL,US,32608,Master's,Industrial & Systems Engineering,2010-08-01 00:00:00,3,4.0,No,No,0
21819,1,Train,Brooklyn,NY,US,11208,Associate's,Information Technology,2011-06-01 00:00:00,2,2.0,No,No,0
22358,1,Train,Riverdale,GA,US,30296,High School,Not Applicable,2006-03-01 00:00:00,2,6.0,No,Yes,10
23599,1,Train,Maricopa,AZ,US,85138,High School,Not Applicable,,3,12.0,Yes,No,0
23919,1,Train,Nashville,TN,US,37206,High School,High School Diploma,2010-05-01 00:00:00,2,1.0,Yes,No,0
26346,1,Train,Gastonia,NC,US,28054,High School,Not Applicable,1998-01-01 00:00:00,3,12.0,,No,0
27912,1,Train,Washington,DC,US,20001,High School,Not Applicable,2006-06-01 00:00:00,5,5.0,No,No,0
29202,1,Train,Acworth,GA,US,30101,Bachelor's,Political Science,1989-01-01 00:00:00,7,26.0,No,Yes,35
30515,1,Train,Kansas City,MO,US,64138,High School,Not Applicable,,4,10.0,No,No,0
30776,1,Train,Madison Heights,MI,US,48071,Bachelor's,Human Services,,4,13.0,Yes,No,0
31706,1,Train,Bristol,CT,US,06010,,General Studies,,2,1.0,No,No,0
32653,1,Test,Dallas,TX,US,75243,High School,Not Applicable,1995-05-01 00:00:00,2,5.0,No,No,0
32794,1,Train,Fremont,CA,US,94536,,English-Business administration,2003-06-01 00:00:00,5,22.0,Yes,No,0
34945,1,Train,Houston,TX,US,77053,High School,Not Applicable,2008-03-01 00:00:00,0,,No,No,0
35066,1,Train,Surprise,AZ,US,85388,,,,7,15.0,,No,0
36607,1,Train,Chicago,IL,US,60651,High School,Not Applicable,,1,2.0,No,No,0
37010,1,Train,Arlington,TX,US,76014,Bachelor's,Science/Criminal Justice,2012-05-01 00:00:00,3,7.0,,No,0
38227,1,Train,Houston,TX,US,77004,,General,2006-01-01 00:00:00,3,4.0,Yes,No,0
39346,1,Test,Houston,TX,US,77034,High School,High School Diploma,2004-01-01 00:00:00,4,8.0,No,No,0
41346,1,Train,Chicago,IL,US,60619,Bachelor's,,2012-06-01 00:00:00,3,2.0,No,No,0
43503,1,Test,Tempe,AZ,US,85281,Master's,,,6,5.0,Yes,No,0
45321,1,Test,Rowlett,TX,US,75089,Bachelor's,Human Resource Management,,4,5.0,Yes,No,0
45378,1,Train,Miami,FL,US,33179,High School,,2010-06-01 00:00:00,3,3.0,Yes,Yes,20
45410,1,Test,Farmington Hills,MI,US,48331,,Business Accounting,2012-04-01 00:00:00,6,16.0,No,No,0
45955,1,Train,Brooklyn,NY,US,11201,Bachelor's,Cultural Deviance,2011-06-01 00:00:00,4,6.0,Yes,Yes,12
49513,1,Train,Fontana,CA,US,92336,,,,3,4.0,Yes,No,0
54442,1,Train,New York,NY,US,10002,,Psychology,,4,5.0,Yes,No,0
54752,1,Train,Overland Park,KS,US,66204,High School,Not Applicable,2006-01-01 00:00:00,3,6.0,No,No,0
55459,1,Train,Fort Lauderdale,FL,US,33311,Associate's,Criminal Justice,,3,5.0,No,No,0
57136,1,Train,Haysville,KS,US,67060,High School,Not Applicable,1987-01-01 00:00:00,5,15.0,No,No,0
57231,1,Train,Woodland Hills,CA,US,91364,,,,3,5.0,No,No,0
57699,1,Train,Arden,NC,US,28704,High School,Military & Architecture Pathway,2009-06-01 00:00:00,2,7.0,No,Yes,2
57795,1,Train,Dallas,TX,US,75236,,General Office,2001-01-01 00:00:00,6,17.0,Yes,No,0
58693,1,Train,Waretown,NJ,US,08758,Master's,Organizational Leadership,,3,8.0,No,No,0
60332,1,Train,Plainfield,IN,US,46168,Bachelor's,Business Administration,2010-05-01 00:00:00,5,6.0,No,Yes,9
61035,1,Test,Holbrook,AZ,US,86025,High School,General Studies,2008-01-01 00:00:00,7,9.0,,No,0
63706,1,Train,Miami,FL,US,33172,Associate's,Business,2003-01-01 00:00:00,3,7.0,Yes,No,0
66563,1,Train,Downers Grove,IL,US,60516,High School,Not Applicable,2010-01-01 00:00:00,3,4.0,Yes,No,0
67191,1,Train,Houston,TX,US,77015,,,,2,10.0,No,No,0
67396,1,Train,Miami,FL,US,33131,High School,Not Applicable,2007-01-01 00:00:00,5,5.0,Yes,No,0
70332,1,Train,Fishers,IN,US,46037,Bachelor's,Biology,2011-12-01 00:00:00,5,12.0,Yes,No,0
70636,1,Train,Yeadon,PA,US,19050,,,,2,8.0,No,No,0
72028,1,Test,New York,NY,US,10034,Master's,Finance and Investments,,4,16.0,No,No,0
72227,1,Train,Canyon Lake,TX,US,78133,,,2003-01-01 00:00:00,2,5.0,Yes,No,0
72435,1,Train,Orlando,FL,US,32837,Bachelor's,Business and Marketing,2010-01-01 00:00:00,2,2.0,No,No,0
73281,1,Train,Covington,GA,US,30016,Bachelor's,Political Science,2010-12-01 00:00:00,5,10.0,,No,0
76044,1,Train,Grand Prairie,TX,US,75050,,,,0,,No,No,0
76468,1,Train,Portsmouth,VA,US,23704,High School,Not Applicable,2001-01-01 00:00:00,4,9.0,No,No,0
77970,1,Train,Miami,FL,US,33182,,,,8,10.0,No,No,0
80137,1,Train,Indianapolis,IN,US,46205,High School,Not Applicable,2011-05-01 00:00:00,2,2.0,Yes,No,0
81354,1,Test,Mc Donald,PA,US,15057,Bachelor's,Managerial Accounting,2007-09-01 00:00:00,5,12.0,,No,0
81740,1,Train,Raleigh,NC,US,27603,Bachelor's,Business Administration (Management),2012-06-01 00:00:00,2,3.0,No,Yes,6
82522,1,Train,Baltimore,MD,US,21208,,Electrician Wiring,2008-01-01 00:00:00,3,6.0,Yes,No,0
87738,1,Train,Houston,TX,US,77035,,Mass Communications,2001-01-01 00:00:00,3,10.0,No,No,0
88381,1,Train,Calumet City,IL,US,60409,High School,Not Applicable,2010-01-01 00:00:00,3,5.0,No,No,0
88383,1,Train,Dover,DE,US,19904,High School,Not Applicable,,2,4.0,Yes,No,0
91532,1,Train,Columbia,TN,US,38401,,,,2,10.0,No,No,0
92548,1,Train,Chicago,IL,US,60644,,,2005-01-01 00:00:00,2,10.0,No,No,0
93690,1,Train,North Richland Hills,TX,US,76182,Bachelor's,English,2011-05-01 00:00:00,3,5.0,,No,0
94832,1,Test,New Freedom,PA,US,17349,Bachelor's,Marketing,2012-04-01 00:00:00,5,2.0,Yes,No,0
96193,1,Train,Hollis,NY,US,11423,Bachelor's,Management and Finance,2006-12-01 00:00:00,2,5.0,,No,0
96345,1,Test,Plantation,FL,US,33322-5672,,,,4,6.0,Yes,No,0
96888,1,Train,Atlanta,GA,US,30312,Master's,African American Studies,2012-05-01 00:00:00,5,3.0,Yes,No,0
100257,1,Train,Flower Mound,TX,US,75028,High School,Not Applicable,2009-01-01 00:00:00,5,8.0,No,No,0
101668,1,Train,Phoenix,AZ,US,85017,,,2004-10-01 00:00:00,2,6.0,No,No,0
102877,1,Train,Plano,TX,US,75075,,,,2,13.0,Yes,No,0
104451,1,Train,Philadelphia,PA,US,19126,High School,Not Applicable,2010-06-01 00:00:00,3,5.0,Yes,No,0
105307,1,Train,Dallas,TX,US,75228,High School,Not Applicable,1994-01-01 00:00:00,7,18.0,No,No,0
107757,1,Train,Miami Beach,FL,US,33141,Associate's,Psychology,,6,6.0,Yes,Yes,50
